EPIC ID,campaign,RA (J2000) [deg],Dec (J2000) [deg],magnitude
220700276,8,15.6858900,11.4800650,9.344
220488623,8,23.0355450,6.5085860,9.351
220664105,8,15.1625400,10.5307710,9.354
220208848,8,12.6004200,0.3161620,9.356
220447924,8,12.7525500,5.6399200,9.361
220572272,8,15.0402300,8.4212780,9.363
220687797,8,18.6503850,11.1355800,9.369
220431562,8,17.5628550,5.3278920,9.379
220159551,8,13.7065050,-1.5574970,9.383
220495589,8,23.2807800,6.6663120,9.383
220174628,8,12.7704900,-1.0043270,9.384
220345677,8,17.4043350,3.6055370,9.384
220665399,8,17.2387350,10.5620030,9.392
220513033,8,22.6494600,7.0638030,9.393
220330817,8,16.8244500,3.2949740,9.399
220373527,8,18.2846700,4.1770470,9.400
220261816,8,17.5635600,1.8174270,9.402
220256558,8,16.5214650,1.7064120,9.407
220401561,8,10.5820650,4.7461230,9.409
220564271,8,9.8796150,8.2262170,9.410
220376741,8,15.7834500,4.2425110,9.412
220350393,8,11.2155000,3.7065330,9.416
220617966,8,13.6875000,9.4292240,9.419
220240448,8,22.6309350,1.3589940,9.421
220473076,8,10.8806250,6.1541910,9.427
220540875,8,19.0716450,7.6866930,9.430
220195180,8,14.2077450,-0.1855310,9.432
220491435,8,19.9557000,6.5698710,9.432
220524658,8,15.7795050,7.3196200,9.437
220709978,8,16.4622750,11.7534230,9.443
220281014,8,15.6888150,2.2282150,9.444
220358346,8,16.2210000,3.8686480,9.446
220217787,8,19.5245700,0.6326040,9.448
220284064,8,13.8738600,2.2965530,9.449
220158274,8,17.5245600,-1.5991060,9.452
220589164,8,15.8634300,8.7900660,9.453
220662964,8,20.4828750,10.5024740,9.453
220161888,8,16.5175350,-1.4817490,9.455
220457577,8,23.5601700,5.8329250,9.456
220580832,8,17.3474550,8.6132490,9.458
220392240,8,14.5951950,4.5593580,9.471
220409205,8,11.6626950,4.8939530,9.475
220412094,8,11.7104400,4.9522650,9.479
220354247,8,22.2816000,3.7853080,9.485
220538860,8,18.5069250,7.6405220,9.485
220266248,8,12.2835150,1.9177910,9.488
220227468,8,19.6176300,0.9707750,9.489
220271859,8,23.3232600,2.0357900,9.490
220483091,8,23.6196900,6.3864110,9.492
220538328,8,10.6184700,7.6274960,9.493
220708846,8,13.8918450,11.7216100,9.494
220416061,8,17.2571550,5.0292770,9.499
220542420,8,10.0743450,7.7204380,9.501
220229832,8,15.8076600,1.0482330,9.502
220695742,8,20.1220350,11.3559120,9.502
220429193,8,10.0793700,5.2802320,9.504
220226574,8,18.9423300,0.9387290,9.506
220434390,8,14.7728250,5.3819360,9.508
220716316,8,15.3897900,11.9420540,9.512
220317141,8,17.5591200,2.9991540,9.521
220232100,8,21.5156250,1.1275300,9.522
220283599,8,12.3075450,2.2860310,9.526
220155692,8,17.0379900,-1.6877520,9.529
220413541,8,16.1382600,4.9800060,9.531
220531803,8,16.1317650,7.4754320,9.535
220716268,8,15.6839850,11.9405450,9.536
220351452,8,17.6638350,3.7282150,9.541
220363759,8,14.9109600,3.9779870,9.542
220523422,8,18.9158550,7.2929610,9.542
220585602,8,10.7039700,8.7148210,9.547
220607132,8,10.4832450,9.1826970,9.547
220217526,8,20.5113150,0.6230580,9.549
